name,tel,country,province,city,county,areaCode,postalCode,addressDetail,isDefault,errno,errmsg
abcdefghijklmnopqrstuvwxyz,13611224455,China,Beijing,Beijing,HaiDian,110101,100091,abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwx,True,0,成功
,13611224455,China,Beijing,Beijing,HaiDian,110101,100091,heima,True,非0,姓名不能为空
abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz,13611224455,China,Beijing,Beijing,HaiDian,110101,100091,heima,True,非0,姓名长度不能超过64个字符
jack001,,China,Beijing,Beijing,HaiDian,110101,100091,heima,True,非0,手机号不能为空
jack001,1361122445,China,Beijing,Beijing,HaiDian,110101,100091,heima,True,非0,手机号必须是11位数字
jack001,1361122445a,China,Beijing,Beijing,HaiDian,110101,100091,heima,True,非0,手机号必须是数字
jack001,23611224455,China,Beijing,Beijing,HaiDian,110101,100091,heima,True,非0,手机号格式不正确
jack001,11611224455,China,Beijing,Beijing,HaiDian,110101,100091,heima,True,非0,手机号格式不正确
jack001,13611224455,China,,Beijing,HaiDian,110101,100091,heima,True,非0,请选择省份
jack001,13611224455,China,Beijing,,HaiDian,110101,100091,heima,True,非0,请选择城市
jack001,13611224455,China,Beijing,Beijing,,110101,100091,heima,True,非0,请选择区县
jack001,13611224455,China,Beijing,Beijing,HaiDian,,100091,heima,True,非0,地区码不能为空
jack001,13611224455,China,Beijing,Beijing,HaiDian,11010,100091,heima,True,非0,地区码必须是6位数字
jack001,13611224455,China,Beijing,Beijing,HaiDian,11010a,100091,heima,True,非0,地区码必须是数字
jack001,13611224455,China,Beijing,Beijing,HaiDian,110101,,heima,True,非0,邮编不能为空
jack001,13611224455,China,Beijing,Beijing,HaiDian,110101,10009,heima,True,非0,邮编必须是6位数字
jack001,13611224455,China,Beijing,Beijing,HaiDian,110101,10009a,heima,True,非0,邮编必须是数字
jack001,13611224455,China,Beijing,Beijing,HaiDian,110101,100091,,True,非0,详细地址不能为空
jack001,13611224455,China,Beijing,Beijing,HaiDian,110101,100091,abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz,True,非0,详细地址长度不能超过100个字符
jack001,13611224455,China,Beijing,Beijing,HaiDian,110101,100091,heima,,非0,默认地址参数错误
jack001,13611224455,China,Beijing,Beijing,HaiDian,110101,100091,heima,True,0,成功
